Metric,Baseline,RL,Improvement
Close Match Ratio (%),,,
Snowball Ratio (%),,,
Comeback Rate (%),,,
Average End HP Diff,,,
Median End HP Diff,,,
Round Duration (sec),,,
Close Match Increase,,,
Snowball Reduction,,,
